frame_idx,radar_ts,beacon_ts,beacon_count_raw,beacon_time_s,radar_time_s,beacon_pulse_count,beacon_sample_offset,beacon_in_frame,ticks_per_sample,offset_float,t0_beacon_time_s,synced
0,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
1,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
2,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
3,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
4,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
5,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
6,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
7,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
8,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
9,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
10,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
11,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
12,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
13,0,0,1273,0.000000,0.000000,0,,0,64.000,0.000,,1
