Beacon, I_payload,Q_payload
103942686,2028,1932
103942686,2288,1988
103942686,2254,1946
103942686,2192,1886
103942686,1984,1862
103942686,1882,1820
103942686,1692,1818
103942686,1714,1786
103942686,1772,1816
103942686,1938,1870
103942686,1728,1872
103942686,1752,1806
103942686,1974,1852
103942686,2312,1912
103942686,2240,1998
103942686,42405,2080
103942686,980,1190
103942686,1222,1128
103942686,2260,1894
103942686,2874,2792
103942686,2490,2854
103942686,1572,1990
103942686,1088,1226
103942686,1664,1452
103942686,2702,2422
103942686,3056,3044
103942686,2372,2752
103942686,1370,1840
103942686,1088,1192
103942686,1772,1448
103942686,2722,2388
103942686,3038,2998
103942686,2340,2726
103942686,1340,1704
103942686,950,1102
103942686,1594,1390
103942686,2598,2102
103942686,2914,2874
103942686,2412,2730
103942686,1490,1844
103942686,1026,1182
103942686,1516,1172
103942686,2376,1822
103942686,2942,2942
103942686,2704,3128
103942686,1774,2352
103942686,964,1402
103942686,946,1014
103942686,1856,1204
103942686,2714,2036
103942686,3044,2766
103942686,2552,2798
103942686,1656,2172
103942686,928,1300
103942686,924,840
103942686,1706,1158
103942686,2636,1988
103942686,3044,2802
103942686,2794,2876
103942686,1988,2544
103942686,1246,1814
103942686,1076,1330
103942686,1638,1160
103942686,2384,1616
103942686,2866,2344
103942686,2886,2776
103942686,2430,2842
103942686,1762,2392
103942686,1236,1668
103942686,1126,1228
103942686,1634,1052
103942686,2174,1338
103942686,2656,1936
103942686,2882,2572
103942686,2606,2688
103942686,1984,2494
103942686,1378,1908
103942686,1024,1366
103942686,1110,1052
103942686,1640,986
103942686,2282,1260
103942686,2726,1992
103942686,3004,2660
103942686,2838,2964
103942686,2352,2744
103942686,1716,2526
103942686,1192,2062
103942686,886,1558
103942686,1002,1192
103942686,1368,966
103942686,1822,1056
103942686,2382,1444
103942686,2840,1870
103942686,2994,2520
103942686,2970,2824
103942686,2632,2910
103942686,2154,2894
103942686,1678,2686
103942686,1276,2398
103942686,1098,1922
103942686,1082,1512
103942686,1178,1150
103942686,1414,1042
103942686,1764,1122
103942686,2218,1422
103942686,2680,1638
103942686,2918,2064
103942686,3006,2226
103942686,2904,2486
103942686,2800,2978
103942686,2692,3388
103942686,2458,3248
103942686,2110,3132
103942686,1814,2950
103942686,1544,2716
103942686,1346,2534
103942686,1276,2310
103942686,1236,1978
103942686,1178,1790
103942686,1260,1670
103942686,1428,1450
103942686,1464,1316
103942686,1612,1254
103942686,1764,1360
103942686,2050,1464
103942686,2260,1484
103942686,2370,1532
103942686,2498,1536
7336,2292,2440
7336,2114,2296
7336,2076,2184
7336,2088,2166
7336,2050,2102
7336,1898,1944
7336,1680,1694
7336,1692,1598
7336,1812,1582
7336,1858,1492
7336,1830,1346
7336,1960,1320
7336,2058,1190
7336,2256,1150
7336,2326,1102
7336,2398,1070
7336,2586,1126
7336,2860,1260
7336,2948,1378
7336,3050,1580
7336,3066,1772
7336,3054,2026
7336,3160,2328
7336,3118,2560
7336,2956,2754
7336,2400,2856
7336,2124,2880
7336,1886,2870
7336,1660,2752
7336,1352,2520
7336,1076,2142
7336,1070,1750
7336,1230,1400
7336,1454,1066
7336,1874,998
7336,2336,1116
7336,2754,1364
7336,3096,1810
7336,3134,2298
7336,3014,2726
7336,2796,3058
7336,2262,3224
7336,1786,3124
7336,1292,2788
7336,890,2198
7336,882,1556
7336,1246,1178
7336,1828,1088
7336,2502,1338
7336,2634,1756
7336,2616,2296
7336,2272,2776
7336,1832,3032
7336,1272,2978
7336,1102,2698
7336,1026,2158
7336,1126,1528
7336,1684,1194
7336,2334,1326
7336,2772,1790
7336,2902,2378
7336,2506,2836
7336,1924,2986
7336,1446,2732
7336,1150,2122
7336,1378,1514
7336,1852,1160
7336,2414,1322
7336,2670,1890
7336,2482,2534
7336,2034,2918
7336,1414,2684
7336,1026,2034
7336,1252,1280
7336,2002,998
7336,2768,1314
7336,3086,2006
7336,2820,2702
7336,2172,2990
7336,1382,2566
7336,1192,1784
7336,1642,1078
7336,2468,1052
7336,3080,1714
7336,3078,2570
7336,2310,3058
7336,1444,2776
7336,1020,1874
7336,1440,1070
7336,2450,962
7336,3234,1620
7336,3146,2596
7336,2282,3062
7336,1364,2738
7336,1144,1824
7336,1694,1092
7336,2664,1244
7336,2918,2052
7336,2318,2802
7336,1506,2860
7336,1044,2098
7336,1302,1202
7336,2190,1036
7336,2850,1748
7336,2782,2704
7336,1810,2988
7336,1036,2342
7336,1108,1332
7336,2024,980
7336,2884,1618
7336,2908,2574
7336,2100,2996
7336,1132,2466
7336,1144,1538
7336,2000,1118
7336,2752,1592
7336,2548,2470
7336,1602,2840
7336,890,2284
7336,998,1296
7336,1826,940
7336,2602,1586
7336,2446,2532
7336,1546,2776
7336,876,2066
7336,1184,1100
7336,2252,958
7336,3020,1756
7336,2464,2660
7336,1244,2642
7336,694,1632
7336,1188,716
7336,2222,860
7336,2686,1884
7336,2114,2700
7336,1074,2414
7336,856,1436
7336,1758,886
7336,2962,1354
7336,3292,2426
7336,2508,3052
7336,1462,2638
7336,1264,1580
7336,2118,1072
7336,3094,1640
7336,3018,2688
7336,1914,3022
7336,998,2320
7336,1204,1344
7336,2360,1074
7336,3056,1856
7336,2814,2888
7336,1696,3006
7336,1034,2210
7336,1346,1238
7336,2454,1176
7336,3096,2096
7336,2680,3006
7336,1512,2982
7336,796,1994
7336,1308,1146
7336,2418,1186
7336,3020,2146
7336,2690,3044
7336,1634,3076
7336,926,2218
7336,1352,1280
7336,2354,1130
7336,3096,1948
7336,3000,2974
7336,2126,3332
7336,1188,2528
7336,1260,1488
7336,2086,1060
7336,2940,1532
7336,3038,2448
7336,2192,2928
7336,1402,2588
7336,1222,1594
7336,1820,948
7336,2784,1250
7336,3106,2284
7336,2436,3048
7336,1650,3142
7336,1300,2472
7336,1374,1378
7336,2186,840
7336,3036,1226
7336,3102,2224
7336,2490,2988
7336,1372,2936
7336,972,2284
7336,1188,1330
7336,2050,892
7336,2962,1312
7336,3322,2210
7336,2702,2958
7336,1826,3100
7336,1112,2506
7336,1090,1676
7336,1770,1054
7336,2618,1002
7336,3094,1650
7336,2964,2528
7336,2454,3120
7336,1740,3020
7336,1050,2362
7336,992,1456
7336,1674,950
7336,2580,1030
7336,3136,1618
7336,2962,2466
7336,2262,3054
7336,1480,3216
7336,874,2830
7336,532,1920
7336,754,1082
7336,1478,636
7336,2358,820
7336,2896,1432
7336,2956,2240
7336,2530,2862
7336,2116,3206
7336,1676,3200
7336,1172,2684
7336,908,1954
7336,1028,1230
7336,1572,842
7336,2262,820
7336,2778,1130
7336,2994,1674
7336,3042,2284
7336,2580,2756
7336,2038,2962
7336,1362,2772
7336,896,2362
7336,844,1922
7336,872,1288
7336,1158,920
7336,1734,838
7336,2300,848
7336,2772,1058
7336,3210,1472
7336,3416,1990
7336,3294,2530
7336,3032,2960
7336,2636,3194
7336,2098,3280
7336,1384,3090
7336,976,2866
7336,812,2628
7336,598,2262
7336,530,1726
7336,730,1438
7336,938,1080
7336,1196,838
7336,1594,766
7336,2050,812
7336,2440,924
7336,2698,1036
7336,2966,1226
7336,3168,1486
7336,3322,1758
7336,3542,2032
7336,3644,2258
7336,3568,2508
7336,3442,2746
7336,3216,2890
7336,3092,3046
7336,2972,3212
7336,2838,3262
7336,2794,3318
7336,2530,3282
7336,2444,3240
7336,2454,3210
7336,2284,3204
7336,2042,3094
7336,1928,3010
7336,1922,2918
7336,2036,2860
7336,2058,2868
7336,2138,2798
7336,2234,2724
7336,2238,2630
7336,2156,2546
7336,2098,2476
7336,2154,2372
7336,2126,2254
7336,1996,2144
7336,2128,2086
7336,2208,1956
7336,2196,1780
7336,2234,1640
7336,2242,1476
7336,2222,1352
7336,2306,1200
7336,2216,976
7336,1988,762
7336,1832,598
7336,1736,438
7336,1622,408
7336,1358,402
7336,1102,386
7336,736,406
7336,416,468
7336,204,654
7336,184,1094
7336,78,1472
7336,50,1784
7336,116,2100
7336,210,2374
7336,466,2698
7336,956,2984
7336,1674,3180
7336,2086,3060
7336,2588,2880
7336,2954,2500
7336,3032,1986
7336,2848,1484
7336,2654,1062
7336,2276,798
7336,1772,774
7336,1262,848
7336,974,1260
7336,850,1802
7336,798,2288
7336,1208,2800
7336,1754,3036
7336,2156,2918
7336,2606,2652
7336,2926,2150
7336,2886,1558
7336,2578,1048
7336,2054,860
7336,1370,932
7336,786,1340
7336,626,1984
7336,936,2780
7336,1514,3302
7336,2392,3386
7336,2962,3016
7336,3242,2306
7336,3148,1522
7336,2628,982
7336,1820,890
7336,1194,1356
7336,1026,2200
7336,1506,3052
7336,2250,3438
7336,2974,3258
7336,3436,2602
7336,3338,1696
7336,2700,1030
7336,1728,792
7336,1144,1268
7336,1254,2334
7336,1758,3066
7336,2700,3266
7336,3324,2748
7336,3412,1830
7336,2954,1084
7336,1986,950
7336,1216,1516
7336,1042,2348
7336,1650,3070
7336,2590,3156
7336,3154,2530
7336,3094,1608
7336,2316,990
7336,1326,1100
7336,890,1942
7336,1308,2854
7336,2342,3252
7336,3144,2760
7336,3324,1702
7336,2628,920
7336,1494,926
